"ID_num","R2_quadratic","AIC_quadratic","AICc_quadratic","BIC_quadratic","R2_log_quadratic","AIC_log_quadratic","AICc_log_quadratic","BIC_log_quadratic","R2_log_logistic","AIC_log_logistic","AICc_log_logistic","BIC_log_logistic","R2_logistic","AIC_logistic","AICc_logistic","BIC_logistic","R2_log_gompertz","AIC_log_gompertz","AICc_log_gompertz","BIC_log_gompertz","R2_gompertz","AIC_gompertz","AICc_gompertz","BIC_gompertz","weight_gompertz","weight_logistic","weight_log_logistic","weight_quadratic","weight_log_quadratic","weight_log_gompertz"
297,0.723411814212887,1693.98715918134,1697.41573060991,1703.94170466027,0.969739342274701,152.015698328796,155.444269757367,161.970243807724,0.423531085394102,50.825703072564,54.2542745011355,60.7802485514926,0.0966176081935932,1658.08626125306,1661.51483268163,1668.04080673199,0.374553059859276,60.0832152844829,66.7498819511496,72.5263971331436,-3.53426792307207,1803.66755730125,1810.33422396792,1816.11073914991,0,0.998069037227305,1.06177452464554e-22,0,0,0.00193096277269478
298,0.723411814212887,1693.98715918134,1697.41573060991,1703.94170466027,0.969739342274701,152.015698328796,155.444269757367,161.970243807724,0.607190859708697,50.825703072564,54.2542745011355,60.7802485514926,0.138189142788724,1658.08626125306,1661.51483268163,1668.04080673199,0.573816959371585,60.0832152844829,66.7498819511496,72.5263971331436,-3.32561156942026,1803.66755730125,1810.33422396792,1816.11073914991,0,0.998069037227305,1.06177452464554e-22,0,0,0.00193096277269478
299,0.723411814212887,1693.98715918134,1697.41573060991,1703.94170466027,0.969739342274701,152.015698328796,155.444269757367,161.970243807724,0.634631235996961,50.825703072564,54.2542745011355,60.7802485514926,0.0841648928577284,1658.08626125306,1661.51483268163,1668.04080673199,0.603588728414046,60.0832152844829,66.7498819511496,72.5263971331436,-3.59677074382072,1803.66755730125,1810.33422396792,1816.11073914991,0,0.998069037227305,1.06177452464554e-22,0,0,0.00193096277269478
275,0.723411814212887,1693.98715918134,1696.98715918134,1703.94170466027,0.969739342274701,152.015698328796,155.015698328796,161.970243807724,0.193066246946278,50.825703072564,53.825703072564,60.7802485514926,-0.18240693821363,1658.08626125306,1661.08626125306,1668.04080673199,0.124507438378089,60.0832152844829,65.7975009987686,72.5263971331436,-4.93475133076188,1803.66755730125,1809.38184301554,1816.11073914991,0,0.997492351358599,1.06116102964542e-22,0,0,0.00250764864140134
276,0.723411814212887,1693.98715918134,1696.98715918134,1703.94170466027,0.969739342274701,152.015698328796,155.015698328796,161.970243807724,0.368316855193818,50.825703072564,53.825703072564,60.7802485514926,-0.17409529313041,1658.08626125306,1661.08626125306,1668.04080673199,0.314647711182147,60.0832152844829,65.7975009987686,72.5263971331436,-4.89303342035027,1803.66755730125,1809.38184301554,1816.11073914991,0,0.997492351358599,1.06116102964542e-22,0,0,0.00250764864140134
277,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,0.227248548294914,50.825703072564,53.4923697392307,60.7802485514926,-0.203075509530292,1658.08626125306,1660.75292791973,1668.04080673199,0.16159394077881,60.0832152844829,65.0832152844829,72.5263971331436,-5.03849127609054,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
278,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,0.433266662568435,50.825703072564,53.4923697392307,60.7802485514926,-0.013989094891717,1658.08626125306,1660.75292791973,1668.04080673199,0.385115792384679,60.0832152844829,65.0832152844829,72.5263971331436,-4.08942643670398,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
279,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,0.219946366209253,50.825703072564,53.4923697392307,60.7802485514926,-0.24693002596877,1658.08626125306,1660.75292791973,1668.04080673199,0.153671349766336,60.0832152844829,65.0832152844829,72.5263971331436,-5.25860640006502,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
280,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,-0.669761238452055,50.825703072564,53.4923697392307,60.7802485514926,-2.51978630441012,1658.08626125306,1660.75292791973,1668.04080673199,-0.811627706013235,60.0832152844829,65.0832152844829,72.5263971331436,-16.6665543638085,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
281,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,-0.682075774656027,50.825703072564,53.4923697392307,60.7802485514926,-2.74655467744943,1658.08626125306,1660.75292791973,1668.04080673199,-0.824988511414671,60.0832152844829,65.0832152844829,72.5263971331436,-17.8047529485554,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
