"ID","quadratic_converged","log_quadratic_converged","logistic_converged","log_logistic_converged","gompertz_converged","log_gompertz_converged","AIC_quadratic","AIC_log_quadratic","AIC_logistic","AIC_log_logistic","AIC_gompertz","AIC_log_gompertz","BIC_quadratic","BIC_log_quadratic","BIC_logistic","BIC_log_logistic","BIC_gompertz","BIC_log_gompertz","R2_quadratic","R2_log_quadratic","R2_logistic","R2_log_logistic","R2_gompertz","R2_log_gompertz","AICc_quadratic","AICc_log_quadratic","AICc_logistic","AICc_log_logistic","AICc_gompertz","AICc_log_gompertz"
276,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,239.682407581623,26.7613027928052,NA,22.4565983207449,228.869825082566,3.52144341123263,241.622034180775,28.7009293919572,NA,24.3962249198969,231.294358331506,5.94597666017263,0.659268194065068,0.748633402907662,NA,0.82440379890976,0.882858750571077,0.969320618866849,242.682407581623,29.7613027928052,NA,25.4565983207449,234.584110796852,9.23572912551834
277,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,250.821530799473,21.6057543102261,NA,13.6808563717253,246.013646236145,-5.88296892785873,253.081328229319,23.8655517400722,NA,15.9406538015714,248.838393023452,-3.05822214055105,0.798208761257066,0.801323225036594,NA,0.892006426139712,0.880472046623737,0.97944064781077,253.488197466139,24.2724209768927,NA,16.3475230383919,251.013646236145,-0.88296892785873
278,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,257.651874439507,28.835273500561,NA,21.8332465759972,242.393126428563,-7.13202464199204,259.911671869353,31.0950709304071,NA,24.0930440058433,245.217873215871,-4.30727785468436,0.712375534934867,0.745900087061221,NA,0.851718856210818,0.923746776677378,0.986303146264461,260.318541106173,31.5019401672277,NA,24.4999132426638,247.393126428563,-2.13202464199204
279,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,249.903650900894,21.921996885723,NA,7.09329652435813,232.288767346917,-16.9519807345533,252.16344833074,24.1817943155692,NA,9.35309395420428,235.113514134224,-14.1272339472456,0.805110858085887,0.794507234546664,NA,0.934323474051768,0.956896952708029,0.991142551848856,252.57031756756,24.5886635523897,NA,9.7599631910248,237.288767346917,-11.9519807345533
280,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,241.985358255138,19.8820563166264,NA,15.36250157282,244.560219066357,NA,244.245155684984,22.1418537464726,NA,17.6222990026661,247.384965853664,NA,0.700819464996127,0.624008863863249,NA,0.734422284448364,0.687292812471479,NA,244.652024921804,22.5487229832931,NA,18.0291682394867,249.560219066357,NA
281,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,237.000314284725,17.0663592181584,NA,15.5780978666219,239.069995344072,17.0035827586261,239.260111714571,19.3261566480045,NA,17.837895296468,241.89474213138,19.8283295459338,0.782973676512956,0.694997049553367,NA,0.727989734136158,0.78180727452172,0.739749055189455,239.666980951392,19.733025884825,NA,18.2447645332885,244.069995344072,22.0035827586261
282,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,239.258344632723,16.9330170338366,NA,8.63794191898922,NA,NA,241.518142062569,19.1928144636827,NA,10.8977393488354,NA,NA,0.705408543565822,0.655221825949526,NA,0.817852183624489,NA,NA,241.92501129939,19.5996837005033,NA,11.3046085856559,NA,NA
283,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,264.672469695658,21.4274068832908,NA,13.6571092716144,270.645177800348,14.6873226321968,267.504670500067,24.2596076876997,NA,16.4893100760232,274.185428805859,18.2275736377079,0.887069314350272,0.757579052600311,NA,0.855590093836153,0.852825135218447,0.864631135272648,266.854287877476,23.609225065109,NA,15.8389274534326,274.645177800348,18.6873226321968
284,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,221.546107721744,16.8416790616353,NA,3.02654875601904,222.702256268046,NA,223.485734320896,18.7813056607873,NA,4.96617535517104,225.126789516986,NA,0.74459279214117,0.687380169410941,NA,0.901137796694482,0.761936317700131,NA,224.546107721744,19.8416790616353,NA,6.02654875601904,228.416541982331,NA
285,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,188.385725331342,32.9593013186579,NA,33.308314959073,188.464064860243,31.6264989744834,189.977306422536,34.5508824098513,NA,34.8998960502664,190.453541224235,33.6159753384753,0.554156162018122,0.464245270372922,NA,0.446974022985731,0.625619617826621,0.604284930395222,191.814296759914,36.3878727472293,NA,36.7368863876444,195.13073152691,38.2931656411501
